slr_select	z_init	c_flood	c_flood_nourishment	nourishment_frequency	rho_deposit	s_subsidence	fd	crit_year	growth_total	end_dist	slope_norm	slope_norm_10	est_time	est_crit_year	class	Policy Combined
mean	0.7	0.05	0.5	10	400	0.003	0.4	2101	0.249	0.142	-0.011	-0.037	7.619	2109.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.5	10	400	0.003	0.4	2084	0.111	0.017	-0.021	-0.02	19.596	2084.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.05	0.5	10	400	0.005	0.4	2101	0.3	0.511	-0.001	-0.018	48.045	2149.0	3.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.5	10	400	0.005	0.4	2101	0.189	0.082	-0.013	-0.04	4.12	2105.0	2.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.5	10	400	0.005	0.4	2079	0.051	0.024	-0.022	-0.039	7.381	2079.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.05	0.5	10	800	0.003	0.4	2101	0.095	0.306	-0.007	-0.017	30.925	2132.0	3.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.5	10	800	0.003	0.4	2089	-0.061	0.013	-0.02	-0.031	6.186	2089.0	1.0	Nourishment (10 years) | Conservation
low	0.7	0.05	0.5	10	800	0.005	0.4	2101	0.008	0.218	-0.01	-0.02	19.189	2120.0	2.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.5	10	800	0.005	0.4	2085	-0.148	0.011	-0.022	-0.02	12.58	2085.0	1.0	Nourishment (10 years) | Conservation
mean	0.7	0.05	0.5	10	1200	0.005	0.4	2076	-0.335	0.002	-0.028	-0.025	11.724	2076.0	1.0	Nourishment (10 years) | Conservation
high	0.7	0.05	0.5	1	800	0.005	0.6	2101	0.555	0.076	-0.024	-0.052	3.63	2105.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.05	0.5	1	1200	0.003	0.6	2101	0.631	0.842	0.003	-0.009	160.652	2262.0	4.0	Nourishment (annual) | Marsh Restoration
mean	0.7	0.05	0.5	1	1200	0.003	0.6	2101	0.563	0.456	-0.007	-0.025	36.888	2138.0	3.0	Nourishment (annual) | Marsh Restoration
high	0.7	0.05	0.5	1	1200	0.003	0.6	2101	0.485	0.006	-0.023	-0.053	0.295	2101.0	2.0	Nourishment (annual) | Marsh Restoration
low	0.7	0.05	0.5	1	1200	0.005	0.6	2101	0.594	0.805	0.002	-0.01	145.305	2246.0	4.0	Nourishment (annual) | Marsh Restoration
